id,repo,provenance,tier,nQuestions,fullPct2,subjectPct2,diff,recordChars
prisma_prisma__991,prisma/prisma,agent,substantive,3,100.0000,0.0000,100.0000,3272
supabase_supabase__28291,supabase/supabase,human,trivial,3,0.0000,0.0000,0.0000,90
supabase_supabase__28553,supabase/supabase,human,substantive,4,25.0000,0.0000,25.0000,615
supabase_supabase__29914,supabase/supabase,human,trivial,3,0.0000,0.0000,0.0000,98
supabase_supabase__30280,supabase/supabase,human,substantive,4,0.0000,0.0000,0.0000,163
supabase_supabase__30563,supabase/supabase,human,trivial,3,0.0000,0.0000,0.0000,112
supabase_supabase__30572,supabase/supabase,human,substantive,4,0.0000,0.0000,0.0000,855
supabase_supabase__30849,supabase/supabase,human,trivial,3,0.0000,0.0000,0.0000,98
supabase_supabase__32549,supabase/supabase,human,substantive,4,25.0000,0.0000,25.0000,214
supabase_supabase__32613,supabase/supabase,human,trivial,3,0.0000,0.0000,0.0000,169
supabase_supabase__33957,supabase/supabase,human,substantive,4,0.0000,0.0000,0.0000,397
supabase_supabase__36291,supabase/supabase,human,trivial,3,0.0000,33.3333,-33.3333,125
supabase_supabase__36732,supabase/supabase,human,substantive,3,33.3333,0.0000,33.3333,1300
supabase_supabase__37337,supabase/supabase,human,substantive,4,50.0000,0.0000,50.0000,1096
supabase_supabase__37601,supabase/supabase,human,substantive,3,0.0000,0.0000,0.0000,396
supabase_supabase__38479,supabase/supabase,human,trivial,3,0.0000,0.0000,0.0000,113
supabase_supabase__39296,supabase/supabase,agent,substantive,2,0.0000,0.0000,0.0000,310
supabase_supabase__39834,supabase/supabase,agent,substantive,4,0.0000,0.0000,0.0000,905
supabase_supabase__39892,supabase/supabase,agent,substantive,4,0.0000,0.0000,0.0000,1030
supabase_supabase__40252,supabase/supabase,human,trivial,4,0.0000,0.0000,0.0000,126
supabase_supabase__41893,supabase/supabase,agent,substantive,3,0.0000,0.0000,0.0000,1423
supabase_supabase__42071,supabase/supabase,agent,substantive,3,0.0000,0.0000,0.0000,919
supabase_supabase__43140,supabase/supabase,agent,substantive,4,0.0000,0.0000,0.0000,1173
supabase_supabase__43530,supabase/supabase,human,substantive,2,50.0000,0.0000,50.0000,1514
supabase_supabase__43790,supabase/supabase,agent,substantive,3,33.3333,0.0000,33.3333,3619
supabase_supabase__43862,supabase/supabase,agent,substantive,3,33.3333,0.0000,33.3333,911
supabase_supabase__43877,supabase/supabase,agent,substantive,3,0.0000,0.0000,0.0000,834
supabase_supabase__43930,supabase/supabase,human,substantive,4,0.0000,0.0000,0.0000,599
supabase_supabase__43967,supabase/supabase,agent,substantive,3,100.0000,0.0000,100.0000,1376
supabase_supabase__43998,supabase/supabase,agent,substantive,3,33.3333,33.3333,0.0000,1058
supabase_supabase__44168,supabase/supabase,human,substantive,3,33.3333,0.0000,33.3333,1053
supabase_supabase__44233,supabase/supabase,agent,substantive,3,0.0000,0.0000,0.0000,489
supabase_supabase__44328,supabase/supabase,agent,substantive,4,25.0000,0.0000,25.0000,6640
supabase_supabase__44515,supabase/supabase,human,substantive,3,100.0000,0.0000,100.0000,1974
supabase_supabase__45326,supabase/supabase,agent,substantive,3,66.6667,0.0000,66.6667,1927
supabase_supabase__45448,supabase/supabase,human,substantive,3,0.0000,0.0000,0.0000,1024
supabase_supabase__46054,supabase/supabase,agent,substantive,3,33.3333,0.0000,33.3333,1566
supabase_supabase__46095,supabase/supabase,agent,substantive,3,0.0000,0.0000,0.0000,2847
supabase_supabase__46147,supabase/supabase,agent,substantive,3,66.6667,33.3333,33.3333,2260
supabase_supabase__46150,supabase/supabase,agent,substantive,3,0.0000,0.0000,0.0000,1334
supabase_supabase__46232,supabase/supabase,agent,substantive,3,33.3333,0.0000,33.3333,1493
supabase_supabase__46241,supabase/supabase,agent,substantive,3,33.3333,0.0000,33.3333,2830
supabase_supabase__46266,supabase/supabase,agent,substantive,3,33.3333,0.0000,33.3333,1651
supabase_supabase__46741,supabase/supabase,human,substantive,3,66.6667,0.0000,66.6667,1239
supabase_supabase__46830,supabase/supabase,agent,substantive,3,100.0000,0.0000,100.0000,2079
supabase_supabase__46960,supabase/supabase,agent,substantive,4,75.0000,0.0000,75.0000,2405
supabase_supabase__46967,supabase/supabase,agent,substantive,3,0.0000,0.0000,0.0000,1180
supabase_supabase__47026,supabase/supabase,agent,substantive,3,66.6667,0.0000,66.6667,1534
supabase_supabase__47067,supabase/supabase,human,substantive,3,0.0000,0.0000,0.0000,2228
supabase_supabase__47264,supabase/supabase,agent,substantive,4,50.0000,0.0000,50.0000,2086
supabase_supabase__47630,supabase/supabase,agent,substantive,3,66.6667,0.0000,66.6667,1417
supabase_supabase__47761,supabase/supabase,human,substantive,3,66.6667,0.0000,66.6667,1604
supabase_supabase__47954,supabase/supabase,human,substantive,3,66.6667,0.0000,66.6667,1379
supabase_supabase__48037,supabase/supabase,agent,substantive,4,50.0000,0.0000,50.0000,1953
supabase_supabase__48142,supabase/supabase,agent,substantive,3,66.6667,0.0000,66.6667,1820
supabase_supabase__48320,supabase/supabase,agent,substantive,3,66.6667,0.0000,66.6667,3713
