id,repo,provenance,tier,questions,coverage_full_record,coverage_subject_only,record_chars
prisma_prisma__817,prisma/prisma,agent,substantive,4,0.75,0,11944
prisma_prisma__826,prisma/prisma,agent,substantive,4,0.25,0,7773
prisma_prisma__829,prisma/prisma,agent,substantive,3,0.333333,0,3327
prisma_prisma__845,prisma/prisma,agent,substantive,4,1,0,5108
prisma_prisma__868,prisma/prisma,agent,substantive,3,0.666667,0,6191
prisma_prisma__912,prisma/prisma,agent,substantive,4,0.5,0,5914
prisma_prisma__969,prisma/prisma,agent,substantive,3,1,0.333333,7187
prisma_prisma__991,prisma/prisma,agent,substantive,3,1,0,3272
supabase_supabase__28291,supabase/supabase,human,trivial,3,0,0,90
supabase_supabase__28553,supabase/supabase,human,substantive,4,0.25,0,615
supabase_supabase__29914,supabase/supabase,human,trivial,3,0,0,98
supabase_supabase__30280,supabase/supabase,human,substantive,4,0,0,163
supabase_supabase__30563,supabase/supabase,human,trivial,3,0,0,112
supabase_supabase__30572,supabase/supabase,human,substantive,4,0,0,855
supabase_supabase__30849,supabase/supabase,human,trivial,3,0,0,98
supabase_supabase__32549,supabase/supabase,human,substantive,4,0.25,0,214
supabase_supabase__32613,supabase/supabase,human,trivial,3,0,0,169
supabase_supabase__33957,supabase/supabase,human,substantive,4,0,0,397
supabase_supabase__36291,supabase/supabase,human,trivial,3,0,0.333333,125
supabase_supabase__36732,supabase/supabase,human,substantive,3,0.333333,0,1300
supabase_supabase__37337,supabase/supabase,human,substantive,4,0.5,0,1096
supabase_supabase__37601,supabase/supabase,human,substantive,3,0,0,396
supabase_supabase__38479,supabase/supabase,human,trivial,3,0,0,113
supabase_supabase__39296,supabase/supabase,agent,substantive,2,0,0,310
supabase_supabase__39834,supabase/supabase,agent,substantive,4,0,0,905
supabase_supabase__39892,supabase/supabase,agent,substantive,4,0,0,1030
supabase_supabase__40252,supabase/supabase,human,trivial,4,0,0,126
supabase_supabase__41893,supabase/supabase,agent,substantive,3,0,0,1423
supabase_supabase__42071,supabase/supabase,agent,substantive,3,0,0,919
supabase_supabase__43140,supabase/supabase,agent,substantive,4,0,0,1173
supabase_supabase__43530,supabase/supabase,human,substantive,2,0.5,0,1514
supabase_supabase__43790,supabase/supabase,agent,substantive,3,0.333333,0,3619
supabase_supabase__43862,supabase/supabase,agent,substantive,3,0.333333,0,911
supabase_supabase__43877,supabase/supabase,agent,substantive,3,0,0,834
supabase_supabase__43930,supabase/supabase,human,substantive,4,0,0,599
supabase_supabase__43967,supabase/supabase,agent,substantive,3,1,0,1376
supabase_supabase__43998,supabase/supabase,agent,substantive,3,0.333333,0.333333,1058
supabase_supabase__44168,supabase/supabase,human,substantive,3,0.333333,0,1053
supabase_supabase__44233,supabase/supabase,agent,substantive,3,0,0,489
supabase_supabase__44328,supabase/supabase,agent,substantive,4,0.25,0,6640
supabase_supabase__44515,supabase/supabase,human,substantive,3,1,0,1974
supabase_supabase__45326,supabase/supabase,agent,substantive,3,0.666667,0,1927
supabase_supabase__45448,supabase/supabase,human,substantive,3,0,0,1024
supabase_supabase__46054,supabase/supabase,agent,substantive,3,0.333333,0,1566
supabase_supabase__46095,supabase/supabase,agent,substantive,3,0,0,2847
supabase_supabase__46147,supabase/supabase,agent,substantive,3,0.666667,0.333333,2260
supabase_supabase__46150,supabase/supabase,agent,substantive,3,0,0,1334
supabase_supabase__46232,supabase/supabase,agent,substantive,3,0.333333,0,1493
supabase_supabase__46241,supabase/supabase,agent,substantive,3,0.333333,0,2830
supabase_supabase__46266,supabase/supabase,agent,substantive,3,0.333333,0,1651
supabase_supabase__46741,supabase/supabase,human,substantive,3,0.666667,0,1239
supabase_supabase__46830,supabase/supabase,agent,substantive,3,1,0,2079
supabase_supabase__46960,supabase/supabase,agent,substantive,4,0.75,0,2405
supabase_supabase__46967,supabase/supabase,agent,substantive,3,0,0,1180
supabase_supabase__47026,supabase/supabase,agent,substantive,3,0.666667,0,1534
supabase_supabase__47067,supabase/supabase,human,substantive,3,0,0,2228
supabase_supabase__47264,supabase/supabase,agent,substantive,4,0.5,0,2086
supabase_supabase__47630,supabase/supabase,agent,substantive,3,0.666667,0,1417
supabase_supabase__47761,supabase/supabase,human,substantive,3,0.666667,0,1604
supabase_supabase__47954,supabase/supabase,human,substantive,3,0.666667,0,1379
supabase_supabase__48037,supabase/supabase,agent,substantive,4,0.5,0,1953
supabase_supabase__48142,supabase/supabase,agent,substantive,3,0.666667,0,1820
supabase_supabase__48320,supabase/supabase,agent,substantive,3,0.666667,0,3713
