repo,source,area,lines_changed,coverage,ci_lo,ci_hi,ci_half_width,commits_scored,questions,questions_explicit,active_recently,corpus_percentile,grey_reason,usable
apache/airflow,sweep,providers/edge3,32150,0.3695652173913043,0.24523559514309495,0.5140016685081521,0.13438303668252857,15,46,17,true,59.07172995780591,,true
apache/airflow,sweep,providers/microsoft,29572,0.4090909090909091,0.2768764387900683,0.5559050735339343,0.13951431737193298,15,44,18,true,59.07172995780591,,true
apache/airflow,sweep,airflow-ctl,29156,0.46938775510204084,0.33703281897894777,0.6061937298008014,0.13458045541092684,15,49,23,true,59.07172995780591,,true
apache/airflow,sweep,providers/cncf,26973,0.4583333333333333,0.3257502185455351,0.5970916690505266,0.13567072525249574,15,48,22,true,59.07172995780591,,true
appwrite/appwrite,sweep,app/config,4401549,0.44680851063829785,0.31410747474911305,0.5875478626124176,0.1367201939316523,15,47,21,true,59.07172995780591,,true
appwrite/appwrite,sweep,(root),359315,0.5111111111111111,0.3700422432648975,0.6504321064697549,0.1401949316024287,15,45,23,true,63.71308016877637,,true
appwrite/appwrite,sweep,tests/resources,305276,0.40476190476190477,0.27042647671209086,0.5550595447182258,0.14231653400306749,14,42,17,true,59.07172995780591,,true
appwrite/appwrite,sweep,tests/e2e/Services/Databases,289560,0.5531914893617021,0.41245213738758246,0.685892525250887,0.13672019393165225,15,47,26,true,63.71308016877637,,true
appwrite/appwrite,sweep,app/controllers/api,102595,0.425531914893617,0.2951341600182584,0.5671833122878847,0.13602457613481314,15,47,20,true,59.07172995780591,,true
appwrite/appwrite,sweep,src/Appwrite/Platform/Modules/Databases,84073,0.3333333333333333,0.21358692207276764,0.479297831907446,0.1328554549173392,15,45,15,true,59.07172995780591,,true
appwrite/appwrite,sweep,tests/e2e/Services,82431,0.7111111111111111,0.5663118252773978,0.8227008196809984,0.12819449720180032,15,45,32,true,82.13783403656821,,true
appwrite/appwrite,sweep,tests/unit,46162,0.7916666666666666,0.6574082647864651,0.8826985220411018,0.11264512862731835,15,48,38,true,86.49789029535864,,true
appwrite/appwrite,sweep,app,36262,0.5227272727272727,0.379352201361717,0.6624524205572824,0.1415501095977827,15,44,23,true,63.71308016877637,,true
appwrite/appwrite,sweep,src/Appwrite/Utopia,35576,0.4583333333333333,0.3257502185455351,0.5970916690505266,0.13567072525249574,15,48,22,true,59.07172995780591,,true
